4;10;12;18;35;40
3;4;15;20;37;38
5;8;13;17;27;36
4;21;23;28;30;33
19;23;33;36;37;38
3;10;17;26;32;37
4;16;18;30;35;39
15;19;21;26;29;35
9;12;24;26;34;35
1;10;12;14;21;37
14;22;25;29;32;34
5;9;20;26;31;35
3;6;7;20;21;27
7;22;27;33;38;40
1;6;8;21;22;38
18;20;26;27;32;33
2;23;25;27;28;37
9;26;33;35;36;37
1;3;8;9;16;30
12;13;16;23;29;33
1;4;17;19;27;37
2;19;23;30;37;39
19;22;27;35;38;39
5;6;17;32;38;40
4;20;21;33;35;39
17;19;22;28;31;37
19;26;29;30;35;36
12;16;21;31;38;39
12;17;18;20;24;30
13;17;23;24;25;29
3;7;17;24;27;33
11;12;21;22;28;31
12;15;17;19;22;23
3;10;15;17;18;21
6;7;22;28;30;38
5;9;26;27;34;37
9;10;15;21;23;25
2;7;14;22;28;40
5;7;9;14;23;35
6;11;18;22;26;37
13;21;24;27;32;33
8;13;24;25;29;38
1;3;7;11;17;32
3;4;10;21;32;36
1;5;15;19;23;30
12;13;22;34;38;40
2;9;14;26;27;28
1;5;10;15;21;31
2;5;10;12;22;39
7;8;16;25;30;38
4;5;6;8;36;40
15;21;24;25;29;37
6;9;13;15;17;40
3;9;20;23;32;37
13;23;24;26;35;40
1;5;11;12;16;35
2;4;6;13;32;40
6;13;22;27;36;37
1;12;19;23;24;37
3;5;12;19;26;29
2;10;18;26;34;37
1;5;8;14;22;24
10;15;18;23;26;32
2;4;5;7;12;14
3;16;20;22;30;39
9;16;28;29;32;39
3;5;26;29;30;37
10;11;26;34;38;40
1;4;6;11;35;40
10;11;27;32;34;36
2;4;13;18;26;35
1;6;8;15;23;27
10;18;25;28;32;36
1;14;22;31;34;36
10;21;23;24;33;39
6;18;24;30;31;33
3;16;19;26;37;40
16;19;20;24;27;38
5;6;22;26;31;36
16;23;25;32;34;38
12;20;22;38;39;40
8;10;11;18;24;26
10;16;18;20;33;38
6;12;25;28;34;39
13;21;27;28;31;32
1;25;26;27;33;38
5;11;12;13;26;29
7;16;19;23;27;39
5;25;26;32;34;40
2;5;6;11;16;36
5;12;18;34;35;37
4;15;22;26;30;40
6;8;11;28;33;34
6;10;16;18;25;26
2;7;8;11;29;36
7;13;16;22;25;32
26;27;28;33;36;38
9;10;18;20;22;27
6;12;15;21;23;26
4;8;12;16;25;34
5;11;13;19;23;33
9;16;17;28;35;39
16;17;29;31;33;35
3;9;12;13;20;39
2;9;14;22;28;38
15;18;19;22;27;34
5;20;21;26;28;30
8;19;24;29;30;33
4;10;19;26;29;40
2;9;10;16;21;38
1;18;20;23;31;34
1;10;13;19;29;35
3;14;17;20;31;38
2;6;18;23;28;32
4;28;29;31;33;39
7;14;15;24;37;39
6;10;13;22;26;27
5;7;8;11;18;31
3;5;8;26;33;40
4;6;10;17;18;
4;9;30;33;38;40
4;6;8;25;27;38
19;21;24;28;31;38
4;7;8;19;30;33
8;14;28;30;31;34
1;3;14;25;26;27
3;11;19;34;39;40
2;9;21;26;30;40
9;19;21;25;28;37
1;4;7;14;16;28
9;12;25;26;27;32
5;8;10;23;25;30
9;20;28;36;39;40
7;10;11;34;37;39
4;5;14;23;31;33
6;11;21;22;23;29
1;12;19;34;47;40
14;23;25;28;29;38
14;17;25;29;32;34
7;18;21;23;24;39
27;28;29;34;35;36
4;6;19;26;30;36
5;8;13;16;21;32
24;30;33;36;37;38
2;6;8;10;22;29
3;28;29;30;38;40
7;15;26;36;37;40
6;7;10;13;16;24
8;15;17;20;22;28
7;16;18;28;31;39
2;6;7;12;27;28
7;8;18;19;24;33
3;4;6;19;21;34
2;12;14;23;24;40
4;13;29;30;33;36
9;10;11;21;28;37
2;13;17;28;34;35
11;17;18;20;37;40
2;21;25;27;29;37
7;9;17;27;31;33
11;18;20;28;29;34
8;15;21;25;29;39
7;12;13;17;25;30
15;19;20;22;25;27
8;15;21;22;23;38
18;19;31;33;35;38
2;3;20;28;34;37
10;20;29;32;37;38
2;3;4;9;12;15
3;12;17;18;30;37
1;3;20;23;35;39
5;9;13;20;24;37
5;13;17;24;28;31
12;23;27;30;32;40
5;8;10;13;34;36
7;16;28;29;38;40
5;7;19;20;21;31
5;13;15;18;22;39
4;8;9;10;30;39
2;12;13;20;36;38
3;11;19;27;33;34
3;17;21;31;33;38
2;12;23;26;29;36
9;17;24;27;29;36
4;17;27;31;33;34
3;9;19;27;28;33
5;11;14;16;17;31
4;8;19;22;23;27
3;9;14;19;31;40
3;7;10;11;23;24
2;3;12;14;20;36
5;11;23;29;31;35
3;7;9;10;16;38
6;16;17;25;29;32
17;18;23;36;39;40
1;8;9;25;26;40
2;12;20;28;29;38
2;4;20;25;32;37
10;23;25;30;34;35
16;21;22;26;27;30
6;11;18;32;34;37
2;3;5;15;37;40
1;23;25;30;32;37
8;16;20;24;27;36
1;7;12;22;28;37
2;11;15;16;18;23
14;20;26;27;29;33
2;13;17;26;32;34
1;7;12;21;30;40
11;13;17;19;23;30
4;14;22;26;27;29
2;20;26;31;32;39
1;10;15;20;21;36
11;14;20;32;34;37
3;5;6;15;19;29
3;4;7;9;23;26
2;3;7;8;19;27
3;9;18;27;31;36
17;18;19;20;24;39
11;12;17;29;39;40
4;11;16;20;33;40
5;7;13;14;19;38
1;2;12;18;22;23
3;12;14;20;26;36
17;30;31;33;34;35
4;8;15;16;33;37
13;19;28;34;35;38
8;27;30;32;35;36
2;13;14;26;28;32
16;20;22;26;27;33
3;10;14;17;18;22
2;26;30;32;38;40
4;14;18;32;34;38
7;13;22;29;31;37
9;12;13;26;31;32
12;18;20;22;25;37
9;21;23;28;31;33
4;13;16;20;24;40
4;9;15;21;35;37
13;14;22;26;37;38
2;13;19;24;25;33
14;25;27;30;38;39
11;16;18;24;26;33
3;12;15;28;32;35
2;5;7;10;29;34
1;4;17;20;31;39
1;4;8;11;28;32
13;16;24;27;30;31
10;15;18;23;27;34
1;14;26;28;37;38
3;6;14;16;18;36
1;2;3;7;23;34
5;21;35;36;37;39
8;12;15;19;29;32
4;10;14;21;33;38
2;12;27;31;33;34
10;17;21;24;34;39
3;6;16;29;34;38
11;17;21;24;27;35
1;2;6;18;32;39
4;5;21;33;34;38
5;8;30;36;39;40
11;23;25;29;33;40
3;6;9;16;26;30
1;10;16;18;37;40
6;7;10;16;18;35
7;10;29;30;31;40
1;5;15;19;20;38
3;4;18;21;31;40
1;16;21;27;29;36
1;4;11;33;35;37
14;15;22;26;34;39
6;9;17;24;26;39
2;16;20;21;29;35
2;11;20;23;31;33
11;20;26;27;32;37
8;14;15;20;24;26
5;18;19;26;32;36
7;12;19;25;30;34
13;17;19;25;29;36
1;8;13;21;32;39
2;6;7;16;21;25
8;13;14;19;33;38
16;17;19;21;31;40
1;2;11;12;15;31
3;8;11;17;24;30
14;16;18;29;31;40
2;17;25;26;35;37
6;9;13;15;19;35
4;8;13;20;25;30
5;6;18;20;25;28
11;14;23;25;27;31
12;18;21;22;31;34
4;8;12;23;35;38
2;3;12;30;33;35
2;13;16;31;32;33
2;4;6;10;17;40
2;17;23;32;39;40
1;8;15;20;32;37
2;18;28;29;36;40
4;7;15;22;25;34
15;24;25;29;30;31
3;20;23;32;34;38
10;14;15;18;28;36
7;9;16;17;24;40
8;9;15;24;38;40
2;4;9;14;27;31
10;15;25;27;34;36
3;11;21;25;28;34
12;28;29;31;33;39
11;12;16;25;29;36
11;17;19;23;26;29
9;10;15;17;26;40
5;10;13;16;17;29
1;2;4;5;6;34
1;7;22;23;35;38
12;14;17;28;33;39
1;3;4;6;16;39
9;24;27;28;32;38
3;7;8;12;14;24