Nro1;Nro2;Nro3;Nro4;Nro5;Nro6
1;2;8;14;15;24
3;4;8;17;28;34
4;6;8;10;36;43
8;9;11;24;33;40
8;14;27;31;36;46
8;17;24;28;35;40
4;27;29;32;35;43
23;26;33;35;41;42
4;15;18;26;28;42
6;8;16;19;21;32
10;14;16;32;36;41
3;14;21;40;43;48
2;9;15;16;40;43
5;14;18;19;41;42
8;9;11;30;33;37
1;7;30;38;44;48
2;11;14;20;24;26
2;23;26;38;40;44
11;20;26;27;29;32
17;19;33;37;42;46
5;7;10;28;32;39
20;22;24;32;37;47
9;11;16;19;43;46
8;13;16;21;27;31
3;9;13;15;36;44
2;11;23;30;40;44
8;20;25;31;39;43
3;23;26;28;29;46
5;24;25;37;40;43
2;16;26;35;37;40
8;13;16;18;32;41
2;6;19;30;41;48
1;6;13;27;40;41
14;23;27;34;35;42
2;23;28;35;47;48
8;11;14;28;31;33
9;18;21;38;41;48
14;34;37;39;40;44
1;14;16;17;26;45
13;32;33;37;40;45
4;14;17;30;35;37
7;23;26;27;35;44
8;18;24;35;46;47
8;11;8;14;22;32
8;19;29;40;41;48
11;15;23;31;32;37
21;28;29;31;39;48
1;6;23;28;44;47
1;21;24;25;27;48
13;16;26;35;42;46
1;14;18;33;39;41
2;7;9;17;19;45
11;13;18;33;40;43
3;9;11;41;42;45
3;8;16;23;27;42
2;25;32;33;40;42
3;5;9;16;23;47
5;17;26;31;34;45
2;22;39;45;46;48
7;9;10;32;33;47
6;9;15;25;32;33
7;10;19;23;33;42
2;4;9;16;17;44
9;23;25;35;40;44
7;16;17;24;39;41
4;8;14;22;35;43
9;27;31;37;42;48
7;14;21;22;34;47
1;4;19;30;32;36
1;8;13;15;20;47
21;22;31;36;44;48
8;8;20;21;38;41
3;19;24;26;39;44
1;14;22;23;37;39
2;13;27;28;41;43
3;10;15;22;35;41
5;9;18;24;32;43
1;3;5;19;25;31
24;25;30;39;42;48
6;13;24;33;36;40
7;14;24;30;45;46
7;18;24;33;41;48
2;9;11;8;30;34
4;5;7;37;39;46
21;26;29;36;42;47
1;7;23;31;43;46
6;27;32;42;46;47
8;14;26;32;35;37
6;8;23;28;34;48
15;16;21;25;30;46
11;16;18;22;26;30
8;16;23;28;38;39
2;5;9;19;29;32
6;8;20;21;30;38
3;10;13;23;27;35
1;3;5;32;36;44
3;4;10;19;22;44
3;22;25;27;31;46
4;19;23;35;38;43
18;21;24;26;44;46
3;8;17;28;32;38
2;4;11;17;24;32
3;9;15;19;41;43
8;17;25;29;32;36
3;4;7;11;18;42
2;8;21;24;26;39
34;39;40;41;44;48
4;5;21;39;42;46
2;8;15;21;25;45
10;23;30;31;45;47
9;15;28;39;41;46
8;16;25;27;43;46
10;33;36;37;41;48
6;13;14;20;45;47
2;14;16;36;41;44
2;8;13;29;43;47
22;29;33;39;40;46
3;25;26;27;28;41
1;3;7;20;21;27
5;6;11;27;41;46
4;9;8;16;31;34
10;11;14;15;39;44
8;13;22;28;37;44
5;21;24;27;29;45
14;21;23;24;25;26
5;8;16;21;33;35
13;18;19;20;36;42
1;10;31;40;41;44
7;21;24;26;28;38
2;8;8;21;29;46
18;25;26;29;31;40
4;5;30;32;35;44
2;18;33;39;43;45
17;21;26;29;38;47
9;13;18;36;45;48
16;19;30;34;41;44
11;8;16;30;40;44
2;11;21;22;44;47
7;8;17;18;28;39
13;17;26;30;32;38
16;23;34;36;37;44
4;8;13;16;21;46
17;28;37;44;45;46
2;6;19;25;27;42
4;10;11;13;32;38
13;20;22;26;30;31
8;28;30;35;41;48
5;7;18;25;34;47
2;10;31;32;44;45
5;11;8;14;30;44
15;27;38;41;42;44
11;18;25;28;38;47
2;6;9;11;18;22
2;5;10;18;20;33
9;17;20;23;24;31
6;8;9;25;33;34
3;31;33;40;42;48
2;8;17;22;29;47
3;6;8;16;37;41
2;11;22;29;33;34
5;10;15;16;42;45
13;28;31;33;35;36
2;3;14;15;36;37
2;5;18;19;32;43
4;16;22;37;40;47
6;18;24;28;39;43
6;11;14;20;25;46
2;8;18;27;33;36
1;3;22;24;25;27
17;20;24;33;42;47
11;19;31;37;42;44
3;7;21;24;41;46
5;9;29;30;41;47
4;8;16;20;25;31
4;15;27;35;41;43
3;7;25;30;39;42
16;24;32;33;42;47
8;15;24;28;41;42
9;11;21;32;39;41
11;13;14;23;38;45
1;19;22;28;30;47
4;25;31;35;36;38
9;10;25;33;43;46
7;8;30;34;37;44
4;7;8;9;13;19
3;34;39;40;41;43
17;19;21;32;36;38
4;8;13;21;39;41
3;6;18;21;29;42
8;13;18;22;30;32
6;35;41;42;43;45
9;11;27;32;40;41
21;27;35;36;42;46
21;27;31;39;41;46
9;10;15;24;28;45
2;11;18;35;40;48
5;21;31;33;34;44
5;10;13;33;36;42
2;6;11;21;23;31
3;7;11;8;29;35
8;20;22;24;41;43
4;9;23;26;31;32
5;22;36;42;44;47
1;2;8;21;37;41
2;5;23;24;25;26
5;19;21;31;32;33
7;10;36;38;44;48
17;18;22;25;28;47
7;9;31;39;41;48
3;7;14;23;31;41
1;6;11;18;29;33
1;22;24;28;31;42
6;18;25;29;30;39
8;33;40;41;43;46
3;16;24;26;35;36
17;18;22;25;30;42
1;14;17;20;22;31
15;27;32;40;41;46
9;17;29;37;39;40
10;11;14;27;31;32
7;32;35;41;45;46
3;6;21;24;32;47
1;14;17;35;36;47
9;20;26;32;34;48
13;20;21;36;40;42
19;28;29;34;36;45
1;24;27;38;41;43
2;8;23;34;38;47
27;35;40;41;42;45
7;11;23;38;42;45
5;8;13;17;32;44
3;8;13;15;25;38
2;7;9;17;25;27
6;33;34;38;43;48
7;14;39;40;44;45
16;19;20;30;33;36
4;11;8;21;24;38
6;20;26;35;40;46
5;19;20;31;32;37
4;8;10;25;27;48
2;21;26;32;33;40
3;6;20;31;34;42
13;22;29;34;38;43
3;20;24;35;38;47
7;23;27;30;35;46
11;13;21;43;44;45
3;18;22;27;41;47
2;5;18;20;31;41
1;11;13;17;28;29
4;16;22;41;42;44
4;10;8;21;29;43
5;14;20;24;37;44
5;8;13;25;39;40
19;21;22;26;32;34
7;8;26;31;38;39
1;8;19;22;24;28
2;13;31;37;41;44
2;8;27;36;40;44
5;7;18;19;33;34
4;17;21;41;42;48
19;25;27;28;42;45
19;21;25;35;40;44
5;7;10;24;38;43
19;21;26;27;41;44
1;14;24;33;38;42
4;29;38;41;45;47
6;16;17;21;26;34
8;19;22;34;38;47
3;11;16;21;23;25
1;16;23;28;34;43
9;27;29;31;37;38
2;16;21;30;36;47
10;32;36;37;38;47
9;17;22;32;44;46
10;14;17;28;36;40
17;29;31;39;45;47
9;21;27;31;39;41
5;26;30;35;45;46
7;16;18;28;39;42
14;18;28;34;37;43
1;8;28;30;40;44
1;4;6;11;26;27
1;11;8;14;21;24
7;14;35;40;41;42
1;18;25;26;42;47
7;8;8;14;16;48
3;25;27;30;36;45
2;3;16;20;35;42
15;19;22;30;35;44
1;6;17;18;27;40
1;2;7;23;30;32
4;8;14;19;41;47
18;19;23;41;47;48
5;31;37;38;41;45
3;5;11;38;40;45
7;10;29;33;37;42
14;20;24;38;45;46
3;5;15;28;38;40
7;15;29;30;35;48
7;28;34;37;39;44
11;26;32;35;36;39
5;6;15;20;39;47
7;9;17;25;28;34
8;16;19;20;39;43
6;9;16;19;44;48
1;14;21;28;31;40
9;8;16;17;20;34
3;5;7;8;8;41
22;23;42;44;45;48
1;7;23;24;33;40
7;9;25;34;37;47
21;25;30;37;39;42
11;24;36;38;42;44
1;2;8;9;29;43
6;21;25;36;41;42
1;8;10;11;16;44
4;10;24;25;35;37
7;13;20;21;30;33
10;14;19;24;31;33
8;8;25;34;41;47
16;27;32;40;44;48
2;5;11;20;32;35
4;10;13;17;23;46
1;11;13;14;23;29
7;9;15;16;45;46
6;11;27;30;36;39
3;4;5;17;31;47
7;17;29;39;46;47
8;24;27;30;34;42
4;13;21;22;34;40
2;7;24;34;42;48
5;6;11;13;29;46
6;17;18;24;29;37
3;17;26;36;45;48
23;37;38;39;42;46
4;6;20;27;28;30
2;19;21;28;34;44
1;20;26;36;38;44
2;3;4;10;20;47
2;3;22;37;46;48
3;5;24;43;44;47
1;4;6;18;40;48
10;17;22;26;38;48
25;36;37;38;43;47
7;8;9;27;32;35
2;3;10;17;18;39
2;6;22;26;37;48
6;9;14;16;25;28
14;17;18;21;28;40
2;16;25;31;32;35
2;11;31;35;40;44
7;13;14;16;23;44
6;8;19;30;39;42
6;15;17;41;42;45
10;19;22;34;37;41
8;22;29;33;36;40
1;8;26;27;28;36
9;27;29;32;36;37
3;18;24;35;37;44
1;13;21;33;34;35
23;28;30;39;43;45
7;22;26;32;38;40
13;31;37;42;47;48
5;7;8;10;18;27
11;20;22;27;41;43
14;19;27;33;36;38
3;20;25;26;34;42
6;22;23;25;37;43
3;5;7;23;37;40
14;26;34;39;46;48
4;6;11;19;25;32
19;27;29;35;37;40
2;23;28;38;41;42
10;11;20;29;37;48
10;29;32;33;43;48
21;23;27;30;34;42
8;31;35;43;47;48
1;9;21;41;42;46
3;9;34;42;45;48
1;5;9;10;23;35
2;15;37;43;44;46
11;15;24;31;36;43
4;9;22;32;39;44
5;18;35;37;39;45
11;16;24;31;32;44
11;16;23;27;34;36
1;17;19;29;32;35
1;3;20;27;42;45
13;14;23;30;41;44
13;14;15;28;34;38
11;17;21;23;29;40
3;8;24;43;45;48
1;7;8;27;36;48
6;8;28;30;35;46
3;7;8;13;15;25
3;11;8;18;23;45
26;27;30;31;35;36
8;21;26;28;35;46
8;10;14;20;31;45
4;6;8;27;37;42
3;8;11;20;31;42
1;7;9;10;26;40
2;8;18;28;36;39
4;10;24;29;41;48
8;11;28;33;36;43
3;17;27;33;44;45
8;22;30;35;36;45
3;7;11;17;20;43
6;30;38;39;44;48
3;4;27;36;42;45
1;8;19;23;37;43
7;9;21;22;29;47
2;6;8;33;41;42
13;21;23;25;27;37
3;4;24;26;31;33
17;27;37;39;41;46
2;9;10;21;27;39
3;4;11;28;38;41
1;4;10;11;31;37
8;16;17;24;26;35
4;7;19;20;22;48
2;10;14;23;39;48
4;29;35;36;39;44
7;17;22;25;27;45
8;18;23;28;35;36
1;8;15;38;42;44
5;6;13;16;25;27
4;5;7;14;17;18
3;8;18;39;40;41
2;7;8;13;19;21
17;30;31;34;38;43
8;19;22;24;45;46
7;11;16;21;27;42
2;8;17;25;32;41
5;10;22;25;32;41
5;10;11;19;36;45
3;37;42;43;45;46
1;20;22;25;36;40
4;16;26;27;36;39
4;6;11;22;36;48
2;3;21;33;37;43
2;11;31;32;33;35
3;5;15;20;32;43
3;11;23;30;38;48
4;23;25;29;35;42
18;31;32;34;40;45
5;7;11;13;19;45
3;17;19;26;31;41
11;13;18;25;29;47
2;8;18;19;24;27
3;14;26;33;35;40
1;9;11;28;42;46
2;8;14;15;28;32
17;40;41;44;45;47
9;36;40;44;46;48
19;20;27;30;41;43
8;15;23;30;37;40
15;27;28;35;39;42
14;23;27;30;41;45
1;14;15;37;40;48
9;22;28;31;39;46
8;24;28;30;31;48
5;15;20;24;29;31
13;14;30;33;38;40
11;23;27;34;38;48
3;7;9;22;25;45
2;3;13;25;26;48
8;25;29;33;36;37
5;22;29;30;44;48
5;6;8;23;34;38
2;8;22;26;28;29
1;14;20;21;22;44
14;16;17;23;35;48
3;9;8;19;24;34
3;6;11;28;30;43
8;13;23;25;34;35
8;14;15;17;21;37
4;8;22;25;33;34
7;17;25;32;35;43
8;19;28;30;37;47
1;10;11;22;36;47
4;11;8;26;27;41
14;15;17;24;41;46
2;21;26;34;35;37
2;5;10;20;34;37
16;21;42;43;44;46
5;6;21;22;41;48
11;13;26;33;35;46
5;7;11;13;32;39
3;19;26;30;43;45
7;16;23;25;34;40
7;8;22;27;31;34
24;25;26;28;39;46
4;6;9;22;40;47
9;14;17;30;44;48
9;21;27;34;43;47
11;17;22;31;37;48
13;17;18;20;23;40
2;5;8;11;23;31
11;20;34;35;37;47
6;33;39;40;43;44
4;10;24;30;32;41
14;20;22;24;29;37
10;24;25;26;37;44
3;25;31;32;34;36
8;15;28;29;37;46
4;13;21;36;45;48
5;21;23;28;34;48
11;16;23;39;40;43
13;17;21;25;44;46
9;17;20;24;25;40
1;2;8;20;39;47
2;8;20;36;38;48
8;14;23;36;40;46
3;15;18;30;36;43
2;7;21;23;36;46
6;9;21;27;31;37
2;9;16;17;24;35
23;29;31;32;40;47
1;17;29;32;42;44
5;29;30;36;37;42
24;31;36;45;46;47
2;17;27;32;36;39
3;23;31;32;41;46
17;19;22;27;30;37
9;16;17;22;30;35
16;22;23;26;36;38
4;8;13;17;39;44
1;15;21;41;42;47
6;8;28;37;38;40
1;5;9;17;24;28
2;9;15;26;27;34
2;3;6;13;20;42
1;7;11;24;41;46
5;8;8;13;36;39
8;15;17;24;28;43
6;9;13;21;28;48
8;14;16;38;43;47
2;3;24;35;40;42
5;16;23;25;33;35
2;7;10;13;18;34
8;15;18;21;29;37
10;14;25;39;40;45
4;8;18;23;32;35
3;19;21;34;36;47
3;13;14;32;37;41
2;3;6;7;15;18
2;8;14;20;21;25
7;16;25;26;35;41
1;2;8;10;36;48
2;14;19;32;42;44
16;20;21;31;41;42
4;7;8;35;42;45
6;23;29;30;33;47
8;14;15;20;36;43
17;24;25;27;41;45
5;6;7;28;30;44
1;7;9;33;35;42
2;25;41;43;47;48
1;16;18;26;38;39
4;9;29;34;41;45
10;20;23;32;35;46
8;19;20;26;27;44
3;7;14;18;22;24
6;11;8;13;26;34
8;14;24;40;46;48
6;16;33;34;35;38
15;17;24;27;28;29
1;15;18;34;43;46
5;15;21;31;41;47
9;24;27;31;38;40
4;26;28;36;44;46
5;10;14;23;28;48
1;3;9;8;23;26
1;5;6;11;13;14
1;3;8;35;38;43
5;15;16;29;34;46
1;2;4;15;39;43
1;8;9;23;30;32
7;11;22;24;27;45
1;3;7;30;31;42
8;13;27;31;34;43
6;16;21;26;37;38
7;11;21;26;34;41
4;26;35;37;45;48
3;4;7;32;36;45
17;27;34;35;37;46
8;14;24;31;32;36
6;13;16;25;35;47
2;13;24;33;38;45
1;22;23;40;41;47
4;14;16;18;19;28
4;13;28;37;38;42
3;4;5;16;22;37
2;27;29;31;32;44
6;17;32;33;43;44
2;6;10;11;24;30
17;19;22;35;46;48
11;8;16;19;26;28
3;4;8;16;26;34
6;18;21;23;25;42
2;4;6;27;35;48
2;11;17;19;23;27
2;6;13;20;26;44
6;8;10;29;36;47
6;13;21;32;39;44
2;22;23;24;29;44
2;3;23;30;32;45
11;27;28;40;42;47
19;23;24;28;39;48
20;30;33;36;38;46
1;6;21;39;43;47
16;17;21;36;40;46
9;15;16;32;41;46
9;20;27;28;36;42
3;21;22;24;36;39
1;4;5;29;34;38
2;21;23;40;44;46
11;15;23;32;38;48
15;18;22;30;35;42
15;16;19;37;41;44
1;13;21;25;26;33
5;8;21;28;46;47
5;7;25;35;43;44
2;6;8;19;28;42
4;30;31;37;38;48
8;14;28;42;45;47
11;13;20;27;32;38
13;15;25;40;42;44
4;5;11;19;27;32
8;16;19;22;25;36
6;23;30;37;39;45
2;9;17;21;24;27
6;13;15;20;30;35
6;9;26;29;40;41
17;19;22;38;41;44
19;22;23;37;38;40
3;9;18;24;28;32
2;4;7;18;21;34
5;8;17;28;31;43
7;10;17;32;35;47
7;20;23;25;26;43
4;20;27;42;43;47
7;20;25;28;29;48
1;3;20;22;37;43
22;34;35;39;44;46
1;8;8;16;18;44
17;18;33;34;41;47
1;9;15;29;31;37
8;13;16;28;33;37
2;5;22;42;47;48
1;24;33;36;42;47
17;26;30;35;38;48
16;18;23;32;41;43
13;17;28;39;45;46
1;13;19;38;39;41
1;3;18;29;33;46
9;10;16;19;25;40
7;16;19;27;36;48
8;13;22;33;38;45
8;17;21;23;25;39
1;8;26;33;44;46
2;4;21;44;46;48
1;9;24;25;35;36
7;25;37;40;44;46
1;20;21;41;44;45
6;18;20;26;30;31
1;5;7;35;43;47
3;6;13;20;26;46
5;22;23;27;37;38
6;22;23;33;35;37
7;9;10;23;39;40
13;16;23;34;36;39
7;19;28;29;30;35
1;8;19;28;29;32
19;24;25;37;40;48
7;11;13;16;27;47
3;4;6;38;39;42
4;14;16;32;45;48
11;14;39;46;47;48
2;19;27;37;44;47
9;27;30;31;32;34
2;30;31;38;43;45
1;10;11;20;41;45
3;6;18;24;31;43
3;19;22;33;35;42
1;32;33;36;39;45
2;17;21;34;39;40
5;35;36;41;42;43
4;13;22;25;41;47
3;19;23;24;28;41
4;20;22;39;42;47
1;14;30;35;38;40
4;15;34;35;46;48
10;25;28;31;43;46
16;17;26;29;33;42
3;19;32;34;36;45
1;9;8;27;43;45
3;18;26;38;45;46
3;6;15;21;41;47
16;29;36;37;44;45
15;16;24;38;40;43
5;7;14;15;25;35
2;14;28;30;33;35
1;16;17;19;36;41
2;3;8;13;28;36
4;7;27;36;40;46
17;18;27;39;41;42
14;23;30;36;41;48
9;19;26;34;38;45
6;15;19;27;29;41
4;8;9;17;32;45
3;13;28;31;37;42
4;15;16;22;37;42
7;29;35;38;40;44
2;8;27;28;29;32
13;27;28;39;42;48
1;21;28;36;44;47
14;15;20;29;36;41
2;7;15;29;40;43
13;31;34;35;40;44
15;16;17;21;43;46
3;20;24;32;34;48
3;21;22;24;26;47
5;8;14;33;35;36
16;30;31;35;44;46
1;3;10;27;28;46
3;7;17;18;26;30
11;27;29;31;44;48
6;7;17;26;36;43
1;6;18;20;30;42
7;10;28;32;33;43
8;20;22;33;39;45
4;10;15;26;42;43
5;8;11;21;27;45
8;17;19;26;30;32
2;9;14;34;35;46
13;18;20;22;32;36
4;8;9;11;26;46
4;10;21;28;34;42
1;6;27;30;31;44
5;17;18;23;25;36
3;9;15;23;30;34
15;21;32;39;46;47
1;11;16;18;30;36
9;8;15;25;38;43
2;3;15;22;44;45
3;7;21;24;26;37
4;5;14;18;29;42
7;9;15;27;33;34
2;15;16;25;37;40
13;19;38;40;41;44
8;27;29;41;43;44
1;8;24;27;34;43
5;22;23;27;37;45
8;35;37;38;43;45
5;6;8;20;21;36
10;13;14;15;26;27
4;5;8;16;26;42
8;13;19;23;25;28
8;8;25;29;36;39
4;7;22;28;31;46
9;18;31;33;45;48
5;26;27;32;36;48
2;8;16;19;41;45
36;37;39;43;44;47
8;13;20;27;36;41
4;19;22;37;40;43
1;11;14;18;23;46
7;11;16;20;39;46
9;10;19;31;40;47
2;16;25;30;41;42
7;22;35;38;41;48
8;14;15;35;44;47
17;23;27;31;43;48
8;8;18;23;34;45
8;24;26;32;38;39
7;16;19;41;46;47
1;2;20;22;41;42
2;4;25;38;42;48
5;8;9;13;30;47
6;11;14;19;26;30
10;11;14;20;27;46
9;8;28;35;36;42
19;21;25;32;40;42
9;21;26;29;33;47
5;10;18;21;26;31
9;23;30;36;43;48
1;18;24;33;44;47
5;10;17;20;45;46
6;8;13;25;27;32
3;9;16;22;30;37
4;17;18;28;40;42
7;8;13;20;27;36
9;10;16;18;27;45
2;8;11;23;37;47
4;11;27;29;31;33
2;15;16;27;31;43
5;8;18;20;34;41
6;13;14;27;34;42
18;28;38;41;42;44
2;9;14;16;30;41
15;16;18;37;41;42
8;14;20;32;41;43
1;9;16;24;37;38
9;10;29;30;34;35
10;17;37;40;43;46
2;8;13;39;43;47
1;9;15;16;33;48
1;6;22;30;37;43
3;6;9;28;40;48
10;11;16;18;36;45
11;19;35;36;37;42
2;11;19;32;43;44
4;13;42;43;47;48
5;15;16;26;42;47
5;8;18;23;42;43
2;20;23;30;36;45
11;14;20;28;29;42
1;9;26;34;38;44
9;8;16;29;33;38
6;14;16;17;43;45
1;7;17;36;37;44
28;34;35;37;39;45
2;4;6;8;38;47
6;11;18;28;39;43
6;11;14;40;41;44
3;23;31;32;41;48
3;9;8;20;31;41
10;27;28;38;39;42
3;4;9;16;34;48
2;13;19;28;29;40
9;15;21;23;38;40
17;19;20;22;45;46
3;11;22;24;44;48
2;4;9;14;21;43
7;8;19;30;41;43
14;15;16;22;31;36
2;6;19;34;47;48
8;18;22;29;31;34
8;13;16;25;31;41
7;33;34;38;41;43
18;25;27;29;44;46
15;18;22;26;32;43
20;23;24;39;45;46
10;19;36;40;45;46
10;24;33;37;38;41
