Nro1;Nro2;Nro3;Nro4;Nro5;Nro6
13;15;17;26;29;39
8;20;21;40;41;44
1;2;7;23;29;42
9;21;23;35;38;45
2;4;8;15;25;26
2;8;34;39;41;46
9;22;33;36;37;38
5;6;36;37;38;43
10;16;27;35;41;47
2;5;8;32;39;45
3;4;13;33;40;43
9;10;13;19;24;26
6;11;22;30;38;43
5;24;28;41;47;48
3;5;20;38;45;46
6;10;31;34;42;43
3;5;15;23;30;46
3;8;10;23;35;41
5;6;17;19;43;45
28;31;39;40;43;47
5;6;19;27;40;47
21;24;36;38;45;48
1;9;21;29;30;43
6;8;26;30;33;47
2;3;4;23;35;43
5;9;10;17;34;35
5;8;24;26;29;44
17;25;33;41;43;44
9;17;19;31;36;45
6;11;24;34;36;41
8;31;37;39;43;44
2;13;15;24;26;46
3;10;28;30;39;43
3;30;31;32;33;34
10;8;19;23;36;42
3;22;25;27;36;39
18;24;26;31;37;40
2;10;11;31;32;44
4;10;17;40;45;47
17;22;24;32;47;48
7;8;13;17;21;38
4;15;20;23;24;27
1;11;25;28;32;45
3;16;18;33;37;45
10;14;21;29;31;48
4;8;20;26;30;40
20;26;33;34;43;45
2;3;14;27;30;48
3;5;10;16;33;34
6;10;11;21;44;47
2;8;31;32;41;46
1;4;25;32;33;34
4;18;25;29;39;47
8;18;28;32;42;44
1;14;18;20;25;41
7;11;25;27;37;47
13;18;25;30;37;40
3;4;11;14;18;31
3;7;8;31;35;37
5;22;25;36;37;47
10;8;15;40;42;45
22;30;31;34;41;48
6;8;13;18;27;37
3;5;11;19;30;31
4;6;22;24;29;47
3;15;27;30;44;46
11;17;23;24;27;48
9;31;33;37;46;48
15;34;36;43;44;47
1;5;9;21;31;32
8;14;19;41;42;44
11;17;18;25;35;44
9;28;34;38;42;44
1;3;14;18;21;48
6;28;32;40;42;48
2;6;8;18;37;48
3;5;7;8;15;18
2;3;4;21;30;32
9;13;14;33;38;41
6;13;18;34;35;45
9;22;23;33;42;47
1;9;38;41;43;48
2;8;24;28;33;35
2;16;19;23;31;32
10;25;30;33;44;46
2;9;16;17;38;42
2;7;13;26;30;42
5;19;25;26;41;46
13;17;19;20;28;34
3;14;16;24;34;45
2;13;14;26;32;45
10;14;31;32;42;47
5;14;16;24;38;46
2;4;14;24;27;46
3;4;7;8;34;39
9;16;22;24;41;47
3;8;10;27;30;41
1;22;32;42;44;46
2;11;34;36;44;48
8;17;23;35;40;44
4;14;30;40;44;45
6;8;13;26;29;45
4;14;17;38;39;42
23;25;26;31;36;45
27;31;35;36;40;48
17;20;25;39;41;48
5;11;13;20;29;44
2;3;7;14;32;39
1;10;14;18;42;48
3;10;18;29;41;45
16;38;44;46;47;48
3;22;25;32;43;46
8;13;17;22;29;32
7;16;27;28;35;45
23;24;34;37;39;44
5;27;33;40;45;47
9;32;34;39;43;44
7;9;18;19;35;40
2;7;8;17;23;39
14;20;36;37;42;46
5;7;25;34;41;45
11;21;23;42;44;47
8;36;37;39;42;48
4;5;8;42;46;48
6;20;22;32;37;46
2;6;10;31;34;37
1;8;15;20;32;48
9;10;8;18;23;36
1;2;13;18;23;40
3;7;8;20;26;39
10;13;18;25;30;41
6;11;19;21;24;41
23;28;37;39;42;45
1;10;16;17;31;46
5;8;13;36;38;41
16;21;34;36;43;47
5;7;9;19;27;32
1;3;11;16;37;43
5;7;8;16;36;37
3;15;17;18;34;48
9;8;24;31;34;47
3;7;29;34;41;44
1;3;4;13;27;31
14;15;25;30;44;47
2;8;17;18;22;34
5;17;20;22;36;38
4;18;20;25;37;38
26;29;38;39;41;44
2;15;26;29;43;48
1;13;16;34;43;46
4;6;11;17;36;37
10;16;31;42;45;46
5;8;10;24;30;33
1;10;13;17;23;43
15;21;34;36;39;43
1;15;18;26;36;45
4;13;21;31;44;47
4;20;28;34;47;48
5;19;26;27;37;45
2;15;20;32;33;47
7;8;9;13;31;38
6;15;18;23;26;37
9;10;20;40;41;42
2;16;20;33;34;39
17;25;28;29;38;42
2;8;15;22;24;25
2;7;8;14;30;44
2;4;11;25;34;46
8;28;30;39;43;45
27;37;42;43;45;47
7;16;26;27;39;46
6;8;15;16;32;46
13;15;27;28;38;39
7;10;24;26;29;43
5;9;11;13;18;47
1;8;21;32;42;43
5;15;16;25;34;41
4;13;26;29;44;47
17;22;25;32;39;43
2;6;7;8;14;31
17;19;21;25;30;37
10;17;20;22;34;38
4;27;31;33;36;48
8;18;24;36;38;40
6;8;9;10;23;34
2;6;14;20;22;33
4;16;21;32;40;45
6;25;28;38;39;46
8;8;13;14;33;47
3;8;25;32;34;45
2;4;16;21;27;36
2;5;19;28;33;46
1;5;8;16;21;30
8;21;26;33;35;43
1;6;7;10;35;37
10;32;33;34;37;48
7;9;14;26;33;44
1;9;21;35;37;46
2;3;13;38;40;46
2;4;6;14;30;39
6;8;9;13;27;40
2;7;16;21;24;37
3;6;7;13;34;35
7;8;18;36;37;47
5;7;13;29;33;39
11;13;14;17;37;42
9;23;25;30;34;44
6;8;21;26;46;48
11;27;32;34;37;42
1;5;11;23;33;41
7;19;20;23;27;41
3;15;17;27;44;46
2;3;5;8;28;31
8;9;11;23;36;42
3;5;21;24;28;44
16;23;26;31;39;43
8;17;30;34;42;44
6;9;13;18;22;27
6;9;8;25;27;42
10;15;21;30;38;41
18;19;27;29;40;46
10;14;15;19;27;47
9;15;17;37;44;45
8;20;23;24;30;37
11;29;33;38;43;44
2;6;9;28;37;45
2;13;16;24;38;39
4;17;24;25;28;29
8;26;36;40;47;48
2;5;19;25;27;46
1;7;15;20;24;37
3;4;13;14;30;32
5;26;27;30;39;45
1;20;21;25;29;30
16;17;23;25;37;39
15;22;28;29;31;32
25;27;41;43;46;47
2;4;11;17;31;45
5;10;17;27;33;45
10;15;21;33;37;46
2;17;25;27;31;37
3;17;20;21;31;45
8;9;13;20;39;41
4;6;24;30;32;48
15;32;36;37;45;46
9;11;30;37;44;46
2;3;21;28;33;42
2;14;16;17;25;31
10;8;15;18;41;43
2;6;25;39;40;44
15;30;32;40;41;45
24;27;28;31;35;38
2;3;8;11;14;43
1;4;13;17;32;34
3;9;14;19;34;40
7;13;22;26;42;48
2;5;7;28;39;42
6;17;19;38;39;46
7;8;26;32;42;46
8;16;22;24;45;46
8;13;30;36;43;45
2;9;10;18;25;31
2;17;19;25;41;45
4;6;10;23;29;30
5;22;29;34;45;48
5;11;12;20;26;47
6;10;12;28;33;48
8;13;20;23;37;38
14;16;25;30;31;42
3;6;14;28;32;35
2;11;20;21;24;34
4;10;21;25;29;32
9;13;14;19;22;27
11;12;13;16;28;34
16;19;24;34;36;46
11;19;30;40;43;47
7;19;28;34;39;42
3;8;16;20;32;34
8;27;37;39;43;46
7;16;26;27;32;36
17;23;32;33;41;42
7;10;16;34;37;38
2;21;26;31;39;41
1;25;28;29;42;43
13;14;15;18;23;46
5;8;10;13;16;23
6;14;17;23;26;32
7;9;27;31;41;47
2;3;14;15;24;28
1;16;26;35;41;45
11;27;29;37;44;45
2;20;21;43;46;48
12;15;17;19;20;32
1;4;14;21;24;46
5;7;10;13;31;34
1;7;17;28;33;46
3;5;24;25;30;31
5;7;27;41;46;47
12;17;30;32;41;42
1;13;22;41;42;43
3;10;12;20;27;43
8;18;19;39;41;44
11;18;22;24;39;46
3;4;14;17;22;35
4;7;10;41;42;44
5;14;23;25;32;45
15;32;40;43;45;46
7;9;20;22;27;30
9;16;24;39;43;47
4;29;32;35;36;47
5;6;13;18;19;33
1;2;20;25;31;34
11;27;29;33;40;41
19;23;31;40;43;48
3;4;21;30;31;42
6;14;19;29;31;35
1;2;6;15;38;47
18;33;37;40;45;46
6;14;33;38;40;42
11;12;37;40;45;47
13;15;22;24;37;44
6;7;9;19;23;42
2;7;31;36;40;43
6;13;23;26;35;41
11;15;17;26;37;43
8;13;15;22;24;48
3;9;13;18;46;47
4;8;19;20;30;38
4;14;23;31;39;46
4;6;8;13;40;47
4;7;11;14;28;37
10;11;21;22;45;47
5;15;33;42;45;48
4;22;27;30;34;47
10;22;23;35;37;45
1;11;16;21;31;39
1;2;14;25;32;36
18;22;28;29;39;41
10;14;16;18;30;38
4;10;13;14;25;35
8;16;21;28;31;32
2;3;8;23;24;48
9;16;23;43;45;48
9;15;18;31;46;48
1;9;14;15;27;36
7;8;19;28;43;44
13;14;31;35;40;41
6;19;23;26;31;38
2;9;13;21;26;39
9;16;27;41;43;48
1;2;5;10;20;29
10;27;35;43;46;48
14;17;19;23;24;39
14;15;17;23;26;33
8;13;23;36;43;44
4;12;19;27;36;45
1;8;17;23;43;45
2;21;28;36;43;48
2;6;18;26;27;40
2;15;33;34;37;38
8;13;16;23;31;40
1;16;33;34;41;43
4;12;16;21;31;43
2;7;22;25;42;46
23;29;42;43;47;48
4;7;22;25;34;35
2;9;15;34;35;36
11;12;31;33;43;47
3;14;16;17;24;40
4;14;28;32;34;42
3;11;17;19;20;39
19;23;25;36;42;46
10;15;23;28;36;40
17;21;22;31;34;40
5;8;26;30;41;45
11;14;22;28;29;39
3;11;17;20;31;32
5;8;12;21;36;41
10;13;23;27;28;44
15;34;36;40;42;48
26;31;33;35;38;47
12;28;29;42;46;48
14;25;29;37;41;44
2;7;20;25;32;44
1;4;8;18;27;30
4;14;15;21;26;30
1;3;13;19;37;45
6;11;18;29;32;47
1;17;25;28;40;43
1;15;19;20;43;46
11;12;30;37;40;47
1;6;18;20;23;33
3;4;12;16;32;39
11;19;21;23;40;41
17;18;22;26;33;34
13;26;28;32;35;42
12;22;30;37;41;44
13;15;21;23;28;34
6;13;23;27;37;46
4;6;11;20;44;47
5;15;19;40;41;47
16;23;24;27;29;37
9;20;31;33;41;47
2;12;24;34;38;42
1;12;14;15;34;44
5;10;16;24;32;37
2;15;30;35;37;45
9;25;26;35;41;48
17;21;24;27;31;38
5;8;9;21;34;47
2;9;26;28;32;37
4;17;34;39;45;48
2;6;7;12;22;26
4;24;25;27;37;38
2;9;19;28;33;43
9;10;13;14;36;40
2;16;27;33;38;41
15;16;33;34;38;45
5;8;13;21;32;44
2;8;10;31;33;45
16;24;32;33;46;47
11;31;36;41;42;47
11;17;26;33;34;48
6;11;17;26;36;42
4;10;17;21;32;41
1;2;11;23;40;45
3;5;7;8;14;21
3;11;14;30;34;47
7;24;25;27;29;42
6;13;23;24;31;35
2;5;13;15;45;47
9;10;16;25;29;30
22;32;34;38;39;40
21;22;24;29;41;44
8;15;17;20;40;47
11;19;22;32;35;46
2;27;28;38;46;48
8;20;27;28;42;47
3;8;9;13;35;42
7;8;16;25;35;40
3;15;30;32;33;45
8;15;23;27;31;36
20;22;25;28;43;44
12;13;20;25;44;46
14;24;30;38;39;47
1;9;15;21;29;39
2;11;14;19;37;39
5;23;25;27;32;40
6;8;25;26;27;45
1;2;21;31;46;47
3;4;9;13;27;45
16;17;21;24;29;30
10;20;22;28;29;37
4;6;9;23;36;44
1;14;15;22;23;33
13;18;22;33;34;44
1;9;13;20;34;43
2;14;21;42;46;48
15;17;32;38;39;42
3;9;30;32;40;43
3;10;16;17;29;30
5;14;16;21;31;41
17;23;25;29;30;43
7;20;26;29;39;42
1;6;21;27;39;48
15;25;26;41;45;46
3;9;16;40;41;44
5;9;12;20;26;33
13;15;17;37;44;46
3;11;18;21;36;45
3;4;8;13;32;37
1;10;14;25;27;35
1;10;11;12;24;43
4;13;21;35;39;46
1;6;22;23;28;32
8;9;15;22;31;32
5;10;21;34;39;46
7;14;18;25;27;36
3;15;32;37;44;47
15;18;26;39;46;48
9;11;26;30;32;37
22;23;30;43;45;47
10;16;30;37;43;44
4;6;21;25;26;31
7;10;37;43;44;48
14;24;28;29;41;43
2;8;26;28;34;42
3;4;11;15;38;45
2;10;37;39;41;46
16;25;27;30;33;46
5;13;20;23;46;48
14;19;26;32;36;40
1;7;14;15;32;42
9;23;29;32;34;41
25;27;31;39;40;42
14;18;29;33;38;48
11;12;13;18;26;27
9;10;20;23;24;34
2;10;20;26;29;34
2;7;12;30;35;43
3;5;11;18;30;40
7;12;22;31;32;45
1;18;19;32;38;41
3;11;12;17;25;40
7;13;24;26;33;46
8;12;13;41;42;45
10;16;19;36;37;39
16;18;22;24;30;32
1;5;8;32;38;44
17;27;40;43;46;47
6;9;18;22;23;48
10;11;16;17;32;33
11;27;28;30;42;48
13;20;24;25;28;47
4;22;37;41;45;47
1;5;10;12;27;34
3;18;22;33;39;41
5;6;19;20;24;39
11;15;18;24;36;37
2;4;5;9;28;41
2;14;20;21;23;31
2;3;11;13;27;47
11;24;32;36;38;47
6;9;18;24;33;35
1;7;10;13;33;37
4;27;36;39;41;44
15;19;20;29;38;43
2;7;17;37;38;46
4;20;24;31;35;39
3;5;7;8;17;31
1;7;26;27;32;35
7;15;23;31;39;42
3;6;9;19;23;28
1;7;14;18;21;38
3;18;31;33;45;48
2;4;5;30;32;34
11;14;16;21;24;44
3;17;25;26;27;42
1;3;14;18;24;40
2;16;24;25;36;47
2;14;19;26;30;34
5;7;16;19;25;38
1;3;27;42;43;48
11;18;20;30;45;46
4;11;16;20;25;44
7;12;23;27;38;45
1;4;10;21;31;33
1;8;21;25;34;42
14;21;24;25;35;40
1;5;15;28;34;46
5;9;14;15;20;46
13;21;23;34;45;48
7;22;32;38;41;42
4;30;31;42;44;46
5;8;14;20;29;43
3;8;26;34;40;43
1;30;31;34;42;44
7;8;14;20;39;48
10;12;17;26;32;37
2;20;36;45;47;48
3;17;22;24;40;41
4;7;24;26;34;46
1;5;17;19;37;38
9;15;21;32;36;37
9;22;23;25;39;48
1;11;12;16;39;43
9;18;27;33;35;39
19;20;25;28;34;42
4;6;31;32;37;47
13;14;17;32;44;46
3;5;14;22;32;41
3;14;35;44;45;47
11;14;20;38;39;40
17;20;24;25;37;44
2;7;11;33;44;45
15;17;21;27;29;48
15;19;24;29;35;38
4;27;31;35;40;43
16;19;28;31;38;43
1;15;27;40;43;47
2;9;10;20;24;28
8;19;23;35;37;44
4;16;30;35;41;46
11;12;14;15;27;39
8;12;20;25;26;34
7;8;14;22;32;34
10;18;30;31;37;42
11;14;19;26;28;30
11;17;20;24;44;46
8;11;12;16;18;33
1;6;18;19;35;43
1;4;18;26;30;34
3;15;25;33;34;39
7;11;18;21;34;35
9;16;29;31;33;39
7;32;33;36;37;39
2;5;42;44;46;47
3;9;14;16;20;45
2;11;12;23;26;43
15;21;25;32;34;39
8;10;35;37;38;42
29;30;31;36;39;44
10;15;28;39;44;46
3;15;20;25;29;36
6;7;13;18;19;23
1;14;25;28;38;43
6;12;22;23;24;35
19;21;29;36;44;48
1;2;13;26;32;42
6;13;27;34;39;48
2;15;20;30;36;46
16;23;31;35;38;42
9;11;16;29;35;39
2;8;18;20;40;43
20;24;27;30;37;38
17;20;27;28;43;45
2;22;32;36;38;41
11;14;25;35;39;46
1;5;15;25;30;31
3;7;23;31;42;44
6;9;31;35;46;47
1;15;21;22;29;48
6;12;28;39;40;43
13;17;21;26;43;47
3;16;29;31;40;43
8;19;26;28;46;48
16;18;21;27;31;36
10;14;17;21;22;26
1;6;17;20;21;46
13;16;29;32;33;34
13;21;24;38;45;46
3;5;15;34;35;48
7;18;29;33;34;36
2;15;17;26;36;41
4;9;15;21;31;38
10;11;20;34;42;48
6;20;22;23;28;43
12;13;20;22;23;26
14;31;32;34;37;42
6;9;19;24;27;35
13;24;27;28;37;47
5;9;24;34;45;47
9;11;15;21;31;40
7;14;23;37;43;46
3;4;9;34;41;43
15;21;29;39;47;48
2;16;20;22;30;40
7;12;24;35;40;48
2;27;28;35;36;44
9;16;18;21;44;48
13;15;17;30;31;47
20;30;32;38;45;48
5;7;10;12;14;44
2;24;39;41;44;45
3;13;15;23;34;35
4;11;19;28;32;42
14;33;36;39;43;48
13;19;26;35;36;40
3;22;26;28;30;31
7;13;15;24;42;48
2;17;24;33;42;44
5;6;11;31;35;45
7;18;19;21;37;40
4;17;24;35;41;44
13;22;24;30;38;41
1;5;17;22;23;45
10;15;17;18;22;23
9;30;37;41;44;46
5;12;27;28;32;37
5;16;22;28;34;40
8;9;10;13;37;48
2;10;16;22;30;39
4;6;23;30;41;44
4;12;16;22;24;27
1;6;22;35;36;45
22;25;39;40;43;47
3;20;26;37;41;43
18;19;25;34;39;45
2;5;16;20;26;33
3;4;21;23;26;34
9;10;21;41;43;48
4;15;25;30;33;39
22;31;32;35;40;41
3;8;11;16;22;23
2;4;8;11;41;48
4;24;27;28;37;45
10;14;16;30;32;36
2;7;8;19;21;42
4;5;29;32;37;39
3;21;22;26;39;41
25;26;32;36;45;48
6;22;38;39;43;45
7;10;12;17;20;24
2;15;21;25;39;41
1;4;11;12;26;43
24;34;39;45;46;48
4;14;17;32;37;44
2;9;15;28;41;44
9;10;23;29;45;48
2;3;8;12;13;22
13;22;24;30;34;42
2;6;10;32;38;40
4;19;28;29;37;41
5;9;10;24;34;44
6;7;10;23;28;30
13;14;19;23;27;38
13;31;33;44;45;48
4;17;26;37;42;47
10;18;21;25;31;38
1;2;22;26;28;47
2;4;8;10;43;44
6;8;19;20;41;47
13;15;16;21;25;34
14;24;26;27;31;39
25;26;30;37;40;48
1;8;12;14;15;39
6;11;19;26;36;46
19;20;26;28;32;33
6;8;14;20;40;46
10;31;37;39;43;47
11;23;25;33;35;47
2;13;16;19;32;36
9;12;15;17;43;48
4;7;8;20;31;47
1;25;29;43;45;48
2;9;11;12;32;47
17;22;32;40;45;47
8;10;11;14;17;46
8;11;12;15;38;41
15;29;30;33;43;47
7;14;17;26;33;41
2;3;26;27;34;44
11;25;29;38;42;43
10;15;17;24;40;45
17;23;26;27;41;47
2;8;10;32;39;44
7;11;13;25;42;47
1;11;14;17;32;40
20;21;22;30;34;43
2;3;15;20;39;47
6;10;14;23;31;44
13;23;31;40;41;43
14;22;28;29;34;40
4;7;9;13;40;43
1;7;23;43;44;46
14;16;26;34;41;47
7;13;20;22;36;37
9;12;14;18;31;42
8;11;14;18;39;40
3;14;21;26;41;44
1;5;7;18;28;48
9;35;36;40;41;47
2;4;28;29;34;47
31;35;36;40;41;45
5;7;25;32;35;41
18;27;34;38;39;42
3;8;9;11;15;25
14;16;28;43;47;48
11;18;26;28;30;40
10;13;28;39;44;45
7;12;17;25;28;39
3;13;18;21;23;38
3;19;35;37;39;45
17;21;22;23;31;36
10;13;30;32;33;36
7;9;10;14;33;41
8;18;22;25;43;45
5;9;13;20;22;37
31;34;37;44;45;47
16;29;32;35;44;46
8;18;29;32;36;38
6;17;18;19;25;42
5;11;17;32;42;44
16;20;30;31;36;43
6;16;24;30;32;42
9;21;22;36;39;40
1;12;15;35;37;43
6;10;12;18;30;46
9;15;27;31;42;44
9;17;18;23;33;37
1;33;36;37;40;47
9;24;32;38;45;46
17;21;22;35;41;48
6;18;23;24;25;32
23;31;33;35;36;39
12;23;24;35;40;45
2;5;9;21;33;34
1;14;19;28;29;47
4;5;9;16;24;31
2;14;17;21;37;38
1;5;9;10;34;41
19;20;23;35;38;43
2;3;9;18;26;32
7;13;14;15;20;24
4;13;14;22;33;34
7;8;13;18;22;44
11;17;32;34;47;48
16;17;24;28;36;43
10;19;28;32;40;48
4;20;28;31;33;47
16;20;26;27;28;39
5;8;9;22;33;43
7;13;19;37;38;46
5;20;28;31;32;37
1;14;25;27;35;46
22;35;36;39;44;47
1;2;9;14;29;46
7;10;18;39;40;48
11;18;19;38;42;47
2;5;9;12;24;31
11;16;25;30;40;44
2;21;25;26;41;44
1;8;12;18;28;45
2;3;4;7;36;46
9;11;16;23;34;39
26;31;33;34;37;44
9;10;11;23;29;35
5;7;19;23;31;36
3;7;21;22;30;41
6;12;18;30;36;38
4;8;18;28;30;42
7;17;18;22;29;34
2;6;11;23;45;48
4;29;33;34;44;47
7;9;15;27;32;38
3;14;27;31;34;48
16;17;21;23;24;31
6;11;12;30;34;35
10;22;25;34;40;43
8;9;28;30;36;43
1;15;21;22;29;46
14;22;29;38;39;45
2;8;18;34;41;48
9;10;30;33;40;48
4;27;32;33;35;44
2;10;12;32;33;40
4;12;18;23;28;40
7;8;19;30;39;42
4;5;8;22;40;47
17;20;33;37;38;43
1;4;6;36;41;48
13;25;31;36;43;44
1;10;23;31;36;39
5;11;19;33;42;46
2;5;6;17;36;46
1;6;33;35;36;48